variable,code,label,source_year
h15,1,Si,2024
h15,8,No sabe,2024
h15a,0,No,2024
h15a,1,Si,2024
h15a,8,No sabe,2024
h15b,0,No,2024
h15b,1,Si,2024
h15b,8,No sabe,2024
h15c,0,No,2024
h15c,1,Si,2024
h15c,8,No sabe,2024
h15d,0,No,2024
h15d,1,Si,2024
h15d,8,No sabe,2024
h15e,0,No,2024
h15e,1,Si,2024
h15e,8,No sabe,2024
h15f,0,No,2024
h15f,1,Si,2024
h15f,8,No sabe,2024
h15g,0,No,2024
h15g,1,Si,2024
h15g,8,No sabe,2024
h15h,0,No,2024
h15h,1,Si,2024
h15h,8,No sabe,2024
h15i,0,No,2024
h15i,1,Si,2024
h15i,8,No sabe,2024
h15j,0,No,2024
h15j,1,Si,2024
h15j,8,No sabe,2024
h15k,0,No,2024
h15k,1,Si,2024
h15k,8,No sabe,2024
h15l,0,No,2024
h15l,1,Si,2024
h15l,8,No sabe,2024
h15m,0,No,2024
h15m,1,Si,2024
h15m,8,No sabe,2024
h2,0,No,2024
h2,1,Vacuna fecha en la tarjeta,2024
h2,2,Reportado por la madre,2024
h2,3,Vacuna marcado en la tarjeta,2024
h2,8,No sabe,2024
h20,0,No,2024
h20,1,Si,2024
h20,8,No sabe,2024
h21,0,No,2024
h21,1,Si,2024
h21a,0,Si recibió tratamiento,2024
h21a,1,No recibió tratamiento,2024
h21a,8,No sabe,2024
h22,0,No,2024
h22,1,Si,2024
h22,8,No sabe,2024
h2d,97,Inconsistente,2024
h2d,98,No sabe,2024
h2m,97,Inconsistente,2024
h2m,98,No sabe,2024
h2y,9997,Inconsistente,2024
h2y,9998,No sabe,2024
h3,0,No,2024
h3,1,Vacuna fecha en la tarjeta,2024
h3,2,Reportado por la madre,2024
h3,3,Vacuna marcado en la tarjeta,2024
h3,8,No sabe,2024
h31,0,No,2024
h31,1,"Sí, las últimas 24 horas",2024
h31,2,"Sí, las últimas dos semanas",2024
h31,8,No sabe,2024
h31b,0,No,2024
h31b,1,Si,2024
h31b,8,No sabe,2024
h31c,1,Solo pecho,2024
h31c,2,Solo nariz,2024
h31c,3,Ambos,2024
h31c,6,Otro,2024
h31c,8,No sabe,2024
h31d,0,Nada para beber,2024
h31d,2,Mucho menos,2024
h31d,3,Algo menos,2024
h31d,4,La misma cantidad,2024
