variable,code,year,was,canonical
h5,8,2013,DK,No sabe
h5d,97,2013,Inconsistent,Inconsistente
h5d,98,2013,DK,No sabe
h5m,97,2013,Inconsistent,Inconsistente
h5m,98,2013,DK,No sabe
h5y,9997,2013,Inconsistent,Inconsistente
h5y,9998,2013,DK,No sabe
h6,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h6,2,2013,Reported by mother,Reportado por la madre
h6,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
h6,8,2013,DK,No sabe
h6d,97,2013,Inconsistent,Inconsistente
h6d,98,2013,DK,No sabe
h6m,97,2013,Inconsistent,Inconsistente
h6m,98,2013,DK,No sabe
h6y,9997,2013,Inconsistent,Inconsistente
h6y,9998,2013,DK,No sabe
h7,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h7,2,2013,Reported by mother,Reportado por la madre
h7,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
h7,8,2013,DK,No sabe
h7d,97,2013,Inconsistent,Inconsistente
h7d,98,2013,DK,No sabe
h7m,97,2013,Inconsistent,Inconsistente
h7m,98,2013,DK,No sabe
h7y,9997,2013,Inconsistent,Inconsistente
h7y,9998,2013,DK,No sabe
h8,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h8,2,2013,Reported by mother,Reportado por la madre
h8,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
h8,8,2013,DK,No sabe
h8d,97,2013,Inconsistent,Inconsistente
h8d,98,2013,DK,No sabe
h8m,97,2013,Inconsistent,Inconsistente
h8m,98,2013,DK,No sabe
h8y,9997,2013,Inconsistent,Inconsistente
h8y,9998,2013,DK,No sabe
h9,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h9,2,2013,Reported by mother,Reportado por la madre
h9,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
h9,8,2013,DK,No sabe
h9d,97,2013,Inconsistent,Inconsistente
h9d,98,2013,DK,No sabe
h9m,97,2013,Inconsistent,Inconsistente
h9m,98,2013,DK,No sabe
h9y,9997,2013,Inconsistent,Inconsistente
h9y,9998,2013,DK,No sabe
ha11,9998,2013,Flagged cases,Casos marcados
ha12,99998,2013,Flagged cases,Casos marcados
ha12a,99998,2013,Flagged cases,Casos marcados
ha12b,99998,2013,Flagged cases,Casos marcados
